97
0, 2, 2, 0
0, 2, 0, 0
1, 2, 0, -10
2, 2, 0, -20
3, 2, 0, -30
3, 2, 2, -30
2, 2, 2, -40
2, 2, 3, -40
2, 1, 3, -50
2, 1, 2, -50
1, 1, 2, -60
0, 1, 2, -70
0, 1, 3, -70
0, 0, 3, -80
0, 0, 0, -80
1, 0, 0, -90
2, 0, 0, -100
3, 0, 0, -110
3, 0, 2, -110
2, 0, 2, -120
2, 0, 1, -120
2, 1, 1, -130
2, 2, 1, -140
2, 3, 1, -150
2, 3, 2, -150
1, 3, 2, -160
0, 3, 2, -170
0, 3, 1, -170
0, 4, 1, 820
0, 4, 0, 820
1, 4, 0, 810
2, 4, 0, 800
2, 4, 2, 800
1, 4, 2, 790
1, 4, 1, 790
1, 5, 1, 780
1, 5, 2, 780
0, 5, 2, 770
0, 5, 0, 770
1, 5, 0, 760
1, 5, 3, 760
1, 4, 3, 750
1, 4, 0, 750
2, 4, 0, 740
2, 4, 3, 740
2, 3, 3, 730
2, 3, 0, 730
3, 3, 0, 720
4, 3, 0, 710
5, 3, 0, 700
5, 3, 2, 700
4, 3, 2, 690
4, 3, 3, 690
4, 2, 3, 680
4, 2, 1, 680
4, 3, 1, 670
4, 4, 1, 660
4, 4, 2, 660
3, 4, 2, 650
3, 4, 1, 650
3, 5, 1, 640
3, 5, 0, 640
4, 5, 0, 630
5, 5, 0, 620
5, 5, 3, 620
5, 4, 3, 610
5, 3, 3, 600
5, 3, 3, 500
5, 2, 3, 490
5, 1, 3, 480
5, 1, 2, 480
4, 1, 2, 470
4, 1, 0, 470
5, 1, 0, 460
5, 1, 3, 460
5, 0, 3, 450
5, 0, 2, 450
4, 0, 2, 440
4, 0, 0, 440
5, 0, 0, 430
5, 0, 1, 430
5, 1, 1, 420
5, 2, 1, 410
5, 3, 1, 400
5, 3, 1, 300
5, 4, 1, 290
5, 4, 2, 290
4, 4, 2, 280
3, 4, 2, 270
2, 4, 2, 260
1, 4, 2, 250
0, 4, 2, 240
0, 4, 3, 240
0, 3, 3, 230
0, 2, 3, 220
0, 1, 3, 210
0, 0, 3, 200
