46
3, 3, 2, 0
3, 3, 1, 0
3, 2, 1, 990
3, 1, 1, 980
3, 1, 3, 980
3, 2, 3, 970
3, 2, 2, 970
2, 2, 2, 960
2, 2, 3, 960
2, 3, 3, 950
2, 3, 2, 950
1, 3, 2, 1940
1, 3, 1, 1940
1, 2, 1, 1930
1, 2, 0, 1930
2, 2, 0, 1920
2, 2, 1, 1920
2, 1, 1, 1910
2, 1, 2, 1910
2, 1, 2, 1810
2, 1, 0, 1810
2, 1, 0, 1710
2, 1, 1, 1710
2, 1, 1, 1610
2, 1, 3, 1610
2, 1, 3, 1510
2, 1, 2, 1510
1, 1, 2, 1500
1, 1, 3, 1500
1, 2, 3, 1490
1, 2, 2, 1490
0, 2, 2, 1480
0, 2, 0, 1480
1, 2, 0, 1470
1, 2, 1, 1470
1, 1, 1, 1460
1, 1, 0, 1460
2, 1, 0, 1450
2, 1, 1, 1450
2, 0, 1, 1440
2, 0, 2, 1440
2, 0, 2, 1340
1, 0, 2, 1330
1, 0, 2, 1330
1, 0, 2, 1230
0, 0, 2, 1220
